id,status,one_liner,relation,domain,ai_level,total_score,priority_score,price,rejection_reasons
IDEA-2026-0078,candidate,家属面向孕产妇：围绕体检记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->孕产妇,健康/体检,L2,93,87.2,19.9元/月,
IDEA-2026-0079,candidate,家属面向孕产妇：围绕体征记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->孕产妇,健康/体征,L2,93,87.2,19.9元/月,
IDEA-2026-0080,candidate,家属面向孕产妇：围绕康复记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->孕产妇,健康/康复,L2,93,87.2,19.9元/月,
IDEA-2026-0081,candidate,家属面向孕产妇：围绕孕产记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->孕产妇,健康/孕产,L2,93,87.2,19.9元/月,
IDEA-2026-0029,candidate,父母面向学龄儿童：多人排期信息收集后，AI自动给出最优排班和提醒,父母->学龄儿童,时间/排班,L2,91,86.4,19.9元/月,
IDEA-2026-0030,candidate,父母面向学龄儿童：围绕预约场景，多人排期信息收集后，AI自动给出最优排班和提醒,父母->学龄儿童,时间/预约,L2,91,86.4,19.9元/月,
IDEA-2026-0031,candidate,父母面向学龄儿童：围绕提醒场景，多人排期信息收集后，AI自动给出最优排班和提醒,父母->学龄儿童,时间/提醒,L2,91,86.4,19.9元/月,
IDEA-2026-0032,candidate,父母面向学龄儿童：围绕复诊场景，多人排期信息收集后，AI自动给出最优排班和提醒,父母->学龄儿童,时间/复诊,L2,91,86.4,19.9元/月,
IDEA-2026-0090,candidate,家属面向孕产妇：多人排期信息收集后，AI自动给出最优排班和提醒,家属->孕产妇,时间/排班,L2,91,86.4,19.9元/月,
IDEA-2026-0091,candidate,家属面向孕产妇：围绕预约场景，多人排期信息收集后，AI自动给出最优排班和提醒,家属->孕产妇,时间/预约,L2,91,86.4,19.9元/月,
IDEA-2026-0092,candidate,家属面向孕产妇：围绕提醒场景，多人排期信息收集后，AI自动给出最优排班和提醒,家属->孕产妇,时间/提醒,L2,91,86.4,19.9元/月,
IDEA-2026-0093,candidate,家属面向孕产妇：围绕复诊场景，多人排期信息收集后，AI自动给出最优排班和提醒,家属->孕产妇,时间/复诊,L2,91,86.4,19.9元/月,
IDEA-2026-0082,candidate,家属面向孕产妇：拍检查结果，AI自动生成给家属看的健康摘要,家属->孕产妇,健康/体检,L2,90,86.0,19.9元/月,
IDEA-2026-0083,candidate,家属面向孕产妇：围绕饮食记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->孕产妇,健康/饮食,L2,90,86.0,19.9元/月,
IDEA-2026-0084,candidate,家属面向孕产妇：围绕用药记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->孕产妇,健康/用药,L2,90,86.0,19.9元/月,
IDEA-2026-0085,candidate,家属面向孕产妇：围绕体征记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->孕产妇,健康/体征,L2,90,86.0,19.9元/月,
IDEA-2026-0086,candidate,家属面向孕产妇：围绕康复记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->孕产妇,健康/康复,L2,90,86.0,19.9元/月,
IDEA-2026-0087,candidate,家属面向孕产妇：围绕孕产记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->孕产妇,健康/孕产,L2,90,86.0,19.9元/月,
IDEA-2026-0004,candidate,成年子女面向老年父母：拍药盒/病历，AI提醒并解释是否按医嘱执行,成年子女->老年父母,健康/用药,L2,95,83.0,19.9元/月,
IDEA-2026-0005,candidate,成年子女面向老年父母：围绕饮食记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,成年子女->老年父母,健康/饮食,L2,95,83.0,19.9元/月,
IDEA-2026-0006,candidate,成年子女面向老年父母：围绕体检记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,成年子女->老年父母,健康/体检,L2,95,83.0,19.9元/月,
IDEA-2026-0007,candidate,成年子女面向老年父母：围绕体征记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,成年子女->老年父母,健康/体征,L2,95,83.0,19.9元/月,
IDEA-2026-0008,candidate,成年子女面向老年父母：围绕康复记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,成年子女->老年父母,健康/康复,L2,95,83.0,19.9元/月,
IDEA-2026-0009,candidate,成年子女面向老年父母：围绕孕产记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,成年子女->老年父母,健康/孕产,L2,95,83.0,19.9元/月,
IDEA-2026-0036,candidate,家属面向慢病患者：拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->慢病患者,健康/用药,L2,95,83.0,19.9元/月,
IDEA-2026-0037,candidate,家属面向慢病患者：围绕饮食记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->慢病患者,健康/饮食,L2,95,83.0,19.9元/月,
IDEA-2026-0038,candidate,家属面向慢病患者：围绕体检记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->慢病患者,健康/体检,L2,95,83.0,19.9元/月,
IDEA-2026-0039,candidate,家属面向慢病患者：围绕体征记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->慢病患者,健康/体征,L2,95,83.0,19.9元/月,
IDEA-2026-0040,candidate,家属面向慢病患者：围绕康复记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->慢病患者,健康/康复,L2,95,83.0,19.9元/月,
IDEA-2026-0041,candidate,家属面向慢病患者：围绕孕产记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->慢病患者,健康/孕产,L2,95,83.0,19.9元/月,
IDEA-2026-0057,candidate,家属面向术后康复患者：拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->术后康复患者,健康/用药,L2,95,83.0,19.9元/月,
IDEA-2026-0058,candidate,家属面向术后康复患者：围绕饮食记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->术后康复患者,健康/饮食,L2,95,83.0,19.9元/月,
IDEA-2026-0059,candidate,家属面向术后康复患者：围绕体检记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->术后康复患者,健康/体检,L2,95,83.0,19.9元/月,
IDEA-2026-0060,candidate,家属面向术后康复患者：围绕体征记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->术后康复患者,健康/体征,L2,95,83.0,19.9元/月,
IDEA-2026-0061,candidate,家属面向术后康复患者：围绕康复记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->术后康复患者,健康/康复,L2,95,83.0,19.9元/月,
IDEA-2026-0062,candidate,家属面向术后康复患者：围绕孕产记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->术后康复患者,健康/孕产,L2,95,83.0,19.9元/月,
IDEA-2026-0019,candidate,成年子女面向老年父母：围绕预约场景，多人排期信息收集后，AI自动给出最优排班和提醒,成年子女->老年父母,时间/预约,L2,93,82.2,19.9元/月,
IDEA-2026-0020,candidate,成年子女面向老年父母：围绕提醒场景，多人排期信息收集后，AI自动给出最优排班和提醒,成年子女->老年父母,时间/提醒,L2,93,82.2,19.9元/月,
IDEA-2026-0021,candidate,成年子女面向老年父母：围绕复诊场景，多人排期信息收集后，AI自动给出最优排班和提醒,成年子女->老年父母,时间/复诊,L2,93,82.2,19.9元/月,
IDEA-2026-0051,candidate,家属面向慢病患者：多人排期信息收集后，AI自动给出最优排班和提醒,家属->慢病患者,时间/排班,L2,93,82.2,19.9元/月,
IDEA-2026-0052,candidate,家属面向慢病患者：围绕预约场景，多人排期信息收集后，AI自动给出最优排班和提醒,家属->慢病患者,时间/预约,L2,93,82.2,19.9元/月,
IDEA-2026-0053,candidate,家属面向慢病患者：围绕提醒场景，多人排期信息收集后，AI自动给出最优排班和提醒,家属->慢病患者,时间/提醒,L2,93,82.2,19.9元/月,
IDEA-2026-0054,candidate,家属面向慢病患者：围绕复诊场景，多人排期信息收集后，AI自动给出最优排班和提醒,家属->慢病患者,时间/复诊,L2,93,82.2,19.9元/月,
IDEA-2026-0071,candidate,家属面向术后康复患者：围绕预约场景，多人排期信息收集后，AI自动给出最优排班和提醒,家属->术后康复患者,时间/预约,L2,93,82.2,19.9元/月,
IDEA-2026-0072,candidate,家属面向术后康复患者：围绕提醒场景，多人排期信息收集后，AI自动给出最优排班和提醒,家属->术后康复患者,时间/提醒,L2,93,82.2,19.9元/月,
IDEA-2026-0073,candidate,家属面向术后康复患者：围绕复诊场景，多人排期信息收集后，AI自动给出最优排班和提醒,家属->术后康复患者,时间/复诊,L2,93,82.2,19.9元/月,
IDEA-2026-0010,candidate,成年子女面向老年父母：拍检查结果，AI自动生成给家属看的健康摘要,成年子女->老年父母,健康/体检,L2,92,81.8,19.9元/月,
IDEA-2026-0011,candidate,成年子女面向老年父母：围绕饮食记录，拍检查结果，AI自动生成给家属看的健康摘要,成年子女->老年父母,健康/饮食,L2,92,81.8,19.9元/月,
IDEA-2026-0012,candidate,成年子女面向老年父母：围绕用药记录，拍检查结果，AI自动生成给家属看的健康摘要,成年子女->老年父母,健康/用药,L2,92,81.8,19.9元/月,
IDEA-2026-0013,candidate,成年子女面向老年父母：围绕体征记录，拍检查结果，AI自动生成给家属看的健康摘要,成年子女->老年父母,健康/体征,L2,92,81.8,19.9元/月,
IDEA-2026-0014,candidate,成年子女面向老年父母：围绕康复记录，拍检查结果，AI自动生成给家属看的健康摘要,成年子女->老年父母,健康/康复,L2,92,81.8,19.9元/月,
IDEA-2026-0015,candidate,成年子女面向老年父母：围绕孕产记录，拍检查结果，AI自动生成给家属看的健康摘要,成年子女->老年父母,健康/孕产,L2,92,81.8,19.9元/月,
IDEA-2026-0042,candidate,家属面向慢病患者：拍检查结果，AI自动生成给家属看的健康摘要,家属->慢病患者,健康/体检,L2,92,81.8,19.9元/月,
IDEA-2026-0043,candidate,家属面向慢病患者：围绕饮食记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->慢病患者,健康/饮食,L2,92,81.8,19.9元/月,
IDEA-2026-0044,candidate,家属面向慢病患者：围绕用药记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->慢病患者,健康/用药,L2,92,81.8,19.9元/月,
IDEA-2026-0045,candidate,家属面向慢病患者：围绕体征记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->慢病患者,健康/体征,L2,92,81.8,19.9元/月,
IDEA-2026-0046,candidate,家属面向慢病患者：围绕康复记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->慢病患者,健康/康复,L2,92,81.8,19.9元/月,
IDEA-2026-0047,candidate,家属面向慢病患者：围绕孕产记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->慢病患者,健康/孕产,L2,92,81.8,19.9元/月,
IDEA-2026-0063,candidate,家属面向术后康复患者：拍检查结果，AI自动生成给家属看的健康摘要,家属->术后康复患者,健康/体检,L2,92,81.8,19.9元/月,
IDEA-2026-0064,candidate,家属面向术后康复患者：围绕饮食记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->术后康复患者,健康/饮食,L2,92,81.8,19.9元/月,
IDEA-2026-0065,candidate,家属面向术后康复患者：围绕用药记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->术后康复患者,健康/用药,L2,92,81.8,19.9元/月,
IDEA-2026-0066,candidate,家属面向术后康复患者：围绕体征记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->术后康复患者,健康/体征,L2,92,81.8,19.9元/月,
IDEA-2026-0067,candidate,家属面向术后康复患者：围绕康复记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->术后康复患者,健康/康复,L2,92,81.8,19.9元/月,
IDEA-2026-0068,candidate,家属面向术后康复患者：围绕孕产记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->术后康复患者,健康/孕产,L2,92,81.8,19.9元/月,
IDEA-2026-0094,candidate,培训班老师面向学员家长：AI根据错题与进度生成下一周学习计划,培训班老师->学员家长,学业/复盘,L2,89,79.6,39.0元/月,
IDEA-2026-0095,candidate,培训班老师面向学员家长：围绕错题场景，AI根据错题与进度生成下一周学习计划,培训班老师->学员家长,学业/错题,L2,89,79.6,39.0元/月,
IDEA-2026-0096,candidate,培训班老师面向学员家长：围绕知识点场景，AI根据错题与进度生成下一周学习计划,培训班老师->学员家长,学业/知识点,L2,89,79.6,39.0元/月,
IDEA-2026-0097,candidate,培训班老师面向学员家长：AI生成学员进步报告并自动发给家长,培训班老师->学员家长,技能/乐器,L2,89,79.6,39.0元/月,
IDEA-2026-0098,candidate,培训班老师面向学员家长：围绕口语场景，AI生成学员进步报告并自动发给家长,培训班老师->学员家长,技能/口语,L2,89,79.6,39.0元/月,
IDEA-2026-0099,candidate,培训班老师面向学员家长：围绕书法场景，AI生成学员进步报告并自动发给家长,培训班老师->学员家长,技能/书法,L2,89,79.6,39.0元/月,
IDEA-2026-0100,candidate,培训班老师面向学员家长：围绕写作场景，AI生成学员进步报告并自动发给家长,培训班老师->学员家长,技能/写作,L2,89,79.6,39.0元/月,
IDEA-2026-0101,candidate,培训班老师面向学员家长：围绕绘画场景，AI生成学员进步报告并自动发给家长,培训班老师->学员家长,技能/绘画,L2,89,79.6,39.0元/月,
IDEA-2026-0102,candidate,培训班老师面向学员家长：上传作品或动作片段，AI评估质量并给出改进建议,培训班老师->学员家长,技能/健身,L2,89,79.6,39.0元/月,
IDEA-2026-0103,candidate,培训班老师面向学员家长：围绕乐器场景，上传作品或动作片段，AI评估质量并给出改进建议,培训班老师->学员家长,技能/乐器,L2,89,79.6,39.0元/月,
IDEA-2026-0104,candidate,培训班老师面向学员家长：围绕口语场景，上传作品或动作片段，AI评估质量并给出改进建议,培训班老师->学员家长,技能/口语,L2,89,79.6,39.0元/月,
IDEA-2026-0105,candidate,培训班老师面向学员家长：围绕书法场景，上传作品或动作片段，AI评估质量并给出改进建议,培训班老师->学员家长,技能/书法,L2,89,79.6,39.0元/月,
IDEA-2026-0106,candidate,培训班老师面向学员家长：围绕写作场景，上传作品或动作片段，AI评估质量并给出改进建议,培训班老师->学员家长,技能/写作,L2,89,79.6,39.0元/月,
IDEA-2026-0107,candidate,培训班老师面向学员家长：围绕绘画场景，上传作品或动作片段，AI评估质量并给出改进建议,培训班老师->学员家长,技能/绘画,L2,89,79.6,39.0元/月,
IDEA-2026-0108,candidate,培训班老师面向学员家长：收集群内反馈，AI自动总结重点并输出执行建议,培训班老师->学员家长,活动/通知,L2,89,79.6,39.0元/月,
IDEA-2026-0109,candidate,培训班老师面向学员家长：围绕签到流程，收集群内反馈，AI自动总结重点并输出执行建议,培训班老师->学员家长,活动/签到,L2,89,79.6,39.0元/月,
IDEA-2026-0110,candidate,培训班老师面向学员家长：围绕报名流程，收集群内反馈，AI自动总结重点并输出执行建议,培训班老师->学员家长,活动/报名,L2,89,79.6,39.0元/月,
IDEA-2026-0111,candidate,培训班老师面向学员家长：围绕组织流程，收集群内反馈，AI自动总结重点并输出执行建议,培训班老师->学员家长,活动/组织,L2,89,79.6,39.0元/月,
IDEA-2026-0125,candidate,社区干部面向居民：收集群内反馈，AI自动总结重点并输出执行建议,社区干部->居民,活动/通知,L2,89,79.6,39.0元/月,
IDEA-2026-0126,candidate,社区干部面向居民：围绕组织流程，收集群内反馈，AI自动总结重点并输出执行建议,社区干部->居民,活动/组织,L2,89,79.6,39.0元/月,
IDEA-2026-0127,candidate,社区干部面向居民：多人排期信息收集后，AI自动给出最优排班和提醒,社区干部->居民,时间/排班,L2,87,78.8,39.0元/月,
IDEA-2026-0128,candidate,社区干部面向居民：围绕提醒场景，多人排期信息收集后，AI自动给出最优排班和提醒,社区干部->居民,时间/提醒,L2,87,78.8,39.0元/月,
IDEA-2026-0118,candidate,体育教练面向学员：AI生成学员进步报告并自动发给家长,体育教练->学员,技能/乐器,L2,89,76.6,39.0元/月,
IDEA-2026-0119,candidate,体育教练面向学员：围绕口语场景，AI生成学员进步报告并自动发给家长,体育教练->学员,技能/口语,L2,89,76.6,39.0元/月,
IDEA-2026-0120,candidate,体育教练面向学员：围绕书法场景，AI生成学员进步报告并自动发给家长,体育教练->学员,技能/书法,L2,89,76.6,39.0元/月,
IDEA-2026-0121,candidate,体育教练面向学员：围绕写作场景，AI生成学员进步报告并自动发给家长,体育教练->学员,技能/写作,L2,89,76.6,39.0元/月,
IDEA-2026-0122,candidate,体育教练面向学员：围绕健身场景，AI生成学员进步报告并自动发给家长,体育教练->学员,技能/健身,L2,89,76.6,39.0元/月,
IDEA-2026-0123,candidate,体育教练面向学员：围绕绘画场景，AI生成学员进步报告并自动发给家长,体育教练->学员,技能/绘画,L2,89,76.6,39.0元/月,
IDEA-2026-0124,candidate,体育教练面向学员：上传作品或动作片段，AI评估质量并给出改进建议,体育教练->学员,技能/健身,L2,89,76.6,39.0元/月,
IDEA-2026-0163,candidate,病友面向病友：共同记录症状与诱因，AI识别高风险模式并提醒复查,病友->病友,健康/康复,L3,77,75.8,29.9元/月,
IDEA-2026-0164,candidate,病友面向病友：围绕用药记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,病友->病友,健康/用药,L3,77,75.8,29.9元/月,
IDEA-2026-0165,candidate,病友面向病友：围绕体征记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,病友->病友,健康/体征,L3,77,75.8,29.9元/月,
IDEA-2026-0112,candidate,体育教练面向学员：拍检查结果，AI自动生成给家属看的健康摘要,体育教练->学员,健康/体检,L2,86,75.4,39.0元/月,
IDEA-2026-0113,candidate,体育教练面向学员：围绕饮食记录，拍检查结果，AI自动生成给家属看的健康摘要,体育教练->学员,健康/饮食,L2,86,75.4,39.0元/月,
IDEA-2026-0114,candidate,体育教练面向学员：围绕用药记录，拍检查结果，AI自动生成给家属看的健康摘要,体育教练->学员,健康/用药,L2,86,75.4,39.0元/月,
IDEA-2026-0115,candidate,体育教练面向学员：围绕体征记录，拍检查结果，AI自动生成给家属看的健康摘要,体育教练->学员,健康/体征,L2,86,75.4,39.0元/月,
IDEA-2026-0116,candidate,体育教练面向学员：围绕康复记录，拍检查结果，AI自动生成给家属看的健康摘要,体育教练->学员,健康/康复,L2,86,75.4,39.0元/月,
IDEA-2026-0117,candidate,体育教练面向学员：围绕孕产记录，拍检查结果，AI自动生成给家属看的健康摘要,体育教练->学员,健康/孕产,L2,86,75.4,39.0元/月,
IDEA-2026-0152,candidate,培训机构面向付费学员：AI生成学员进步报告并自动发给家长,培训机构->付费学员,技能/乐器,L2,81,73.4,39.0元/月,
IDEA-2026-0153,candidate,培训机构面向付费学员：围绕口语场景，AI生成学员进步报告并自动发给家长,培训机构->付费学员,技能/口语,L2,81,73.4,39.0元/月,
IDEA-2026-0154,candidate,培训机构面向付费学员：围绕书法场景，AI生成学员进步报告并自动发给家长,培训机构->付费学员,技能/书法,L2,81,73.4,39.0元/月,
IDEA-2026-0155,candidate,培训机构面向付费学员：围绕写作场景，AI生成学员进步报告并自动发给家长,培训机构->付费学员,技能/写作,L2,81,73.4,39.0元/月,
IDEA-2026-0156,candidate,培训机构面向付费学员：围绕健身场景，AI生成学员进步报告并自动发给家长,培训机构->付费学员,技能/健身,L2,81,73.4,39.0元/月,
IDEA-2026-0157,candidate,培训机构面向付费学员：围绕绘画场景，AI生成学员进步报告并自动发给家长,培训机构->付费学员,技能/绘画,L2,81,73.4,39.0元/月,
IDEA-2026-0158,candidate,培训机构面向付费学员：记录工时与收入，AI自动核算应得工资并生成追款凭证,培训机构->付费学员,金钱/工时,L2,81,73.4,39.0元/月,
IDEA-2026-0159,candidate,培训机构面向付费学员：围绕工资管理，记录工时与收入，AI自动核算应得工资并生成追款凭证,培训机构->付费学员,金钱/工资,L2,81,73.4,39.0元/月,
IDEA-2026-0160,candidate,培训机构面向付费学员：围绕记账管理，记录工时与收入，AI自动核算应得工资并生成追款凭证,培训机构->付费学员,金钱/记账,L2,81,73.4,39.0元/月,
IDEA-2026-0161,candidate,培训机构面向付费学员：围绕报销管理，记录工时与收入，AI自动核算应得工资并生成追款凭证,培训机构->付费学员,金钱/报销,L2,81,73.4,39.0元/月,
IDEA-2026-0162,candidate,培训机构面向付费学员：围绕续费管理，记录工时与收入，AI自动核算应得工资并生成追款凭证,培训机构->付费学员,金钱/续费,L2,81,73.4,39.0元/月,
IDEA-2026-0149,candidate,小时工/兼职面向自我利益保护：记录工时与收入，AI自动核算应得工资并生成追款凭证,小时工/兼职->自我利益保护,金钱/工时,L2,83,72.2,39.0元/月,
IDEA-2026-0150,candidate,小时工/兼职面向自我利益保护：围绕工资管理，记录工时与收入，AI自动核算应得工资并生成追款凭证,小时工/兼职->自我利益保护,金钱/工资,L2,83,72.2,39.0元/月,
IDEA-2026-0151,candidate,小时工/兼职面向自我利益保护：围绕记账管理，记录工时与收入，AI自动核算应得工资并生成追款凭证,小时工/兼职->自我利益保护,金钱/记账,L2,83,72.2,39.0元/月,
IDEA-2026-0129,candidate,自己面向体重与饮食管理：拍餐食，AI结合病史给出吃法建议,自己->体重与饮食管理,健康/饮食,L3,78,71.2,29.9元/月,
IDEA-2026-0130,candidate,自己面向体重与饮食管理：拍用药，AI结合用药相关记录给出吃法建议,自己->体重与饮食管理,健康/用药,L3,78,71.2,29.9元/月,
IDEA-2026-0131,candidate,自己面向体重与饮食管理：拍体检，AI结合体检相关记录给出吃法建议,自己->体重与饮食管理,健康/体检,L3,78,71.2,29.9元/月,
IDEA-2026-0132,candidate,自己面向体重与饮食管理：拍体征，AI结合体征相关记录给出吃法建议,自己->体重与饮食管理,健康/体征,L3,78,71.2,29.9元/月,
IDEA-2026-0133,candidate,自己面向体重与饮食管理：拍康复，AI结合康复相关记录给出吃法建议,自己->体重与饮食管理,健康/康复,L3,78,71.2,29.9元/月,
IDEA-2026-0134,candidate,自己面向体重与饮食管理：拍孕产，AI结合孕产相关记录给出吃法建议,自己->体重与饮食管理,健康/孕产,L3,78,71.2,29.9元/月,
IDEA-2026-0170,candidate,同班家长面向家长：收集群内反馈，AI自动总结重点并输出执行建议,同班家长->家长,活动/通知,L2,74,67.6,19.9元/月,
IDEA-2026-0171,candidate,同班家长面向家长：围绕报名流程，收集群内反馈，AI自动总结重点并输出执行建议,同班家长->家长,活动/报名,L2,74,67.6,19.9元/月,
IDEA-2026-0172,candidate,同班家长面向家长：围绕组织流程，收集群内反馈，AI自动总结重点并输出执行建议,同班家长->家长,活动/组织,L2,74,67.6,19.9元/月,
IDEA-2026-0173,candidate,同班家长面向家长：多人排期信息收集后，AI自动给出最优排班和提醒,同班家长->家长,时间/排班,L2,72,66.8,19.9元/月,
IDEA-2026-0174,candidate,同班家长面向家长：围绕提醒场景，多人排期信息收集后，AI自动给出最优排班和提醒,同班家长->家长,时间/提醒,L2,72,66.8,19.9元/月,
IDEA-2026-0166,candidate,病友面向病友：多人排期信息收集后，AI自动给出最优排班和提醒,病友->病友,时间/排班,L2,73,64.2,19.9元/月,
