id,status,one_liner,relation,domain,ai_level,total_score,priority_score,price,rejection_reasons
IDEA-2026-0189,candidate,家属面向孕产妇：围绕体征记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->孕产妇,健康/体征,L3,95,98.0,29.9元/月,
IDEA-2026-0190,candidate,家属面向孕产妇：围绕孕产记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->孕产妇,健康/孕产,L3,95,98.0,29.9元/月,
IDEA-2026-0001,candidate,成年子女面向老年父母：拍餐食，AI结合病史给出吃法建议,成年子女->老年父母,健康/饮食,L3,97,93.8,29.9元/月,
IDEA-2026-0002,candidate,成年子女面向老年父母：拍用药，AI结合用药相关记录给出吃法建议,成年子女->老年父母,健康/用药,L3,97,93.8,29.9元/月,
IDEA-2026-0003,candidate,成年子女面向老年父母：拍体检，AI结合体检相关记录给出吃法建议,成年子女->老年父母,健康/体检,L3,97,93.8,29.9元/月,
IDEA-2026-0004,candidate,成年子女面向老年父母：拍体征，AI结合体征相关记录给出吃法建议,成年子女->老年父母,健康/体征,L3,97,93.8,29.9元/月,
IDEA-2026-0005,candidate,成年子女面向老年父母：拍康复，AI结合康复相关记录给出吃法建议,成年子女->老年父母,健康/康复,L3,97,93.8,29.9元/月,
IDEA-2026-0006,candidate,成年子女面向老年父母：拍孕产，AI结合孕产相关记录给出吃法建议,成年子女->老年父母,健康/孕产,L3,97,93.8,29.9元/月,
IDEA-2026-0029,candidate,成年子女面向老年父母：共同记录症状与诱因，AI识别高风险模式并提醒复查,成年子女->老年父母,健康/康复,L3,97,93.8,29.9元/月,
IDEA-2026-0030,candidate,成年子女面向老年父母：围绕饮食记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,成年子女->老年父母,健康/饮食,L3,97,93.8,29.9元/月,
IDEA-2026-0031,candidate,成年子女面向老年父母：围绕用药记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,成年子女->老年父母,健康/用药,L3,97,93.8,29.9元/月,
IDEA-2026-0032,candidate,成年子女面向老年父母：围绕体检记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,成年子女->老年父母,健康/体检,L3,97,93.8,29.9元/月,
IDEA-2026-0033,candidate,成年子女面向老年父母：围绕体征记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,成年子女->老年父母,健康/体征,L3,97,93.8,29.9元/月,
IDEA-2026-0034,candidate,成年子女面向老年父母：围绕孕产记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,成年子女->老年父母,健康/孕产,L3,97,93.8,29.9元/月,
IDEA-2026-0079,candidate,家属面向慢病患者：拍餐食，AI结合病史给出吃法建议,家属->慢病患者,健康/饮食,L3,97,93.8,29.9元/月,
IDEA-2026-0080,candidate,家属面向慢病患者：拍用药，AI结合用药相关记录给出吃法建议,家属->慢病患者,健康/用药,L3,97,93.8,29.9元/月,
IDEA-2026-0081,candidate,家属面向慢病患者：拍体检，AI结合体检相关记录给出吃法建议,家属->慢病患者,健康/体检,L3,97,93.8,29.9元/月,
IDEA-2026-0082,candidate,家属面向慢病患者：拍体征，AI结合体征相关记录给出吃法建议,家属->慢病患者,健康/体征,L3,97,93.8,29.9元/月,
IDEA-2026-0083,candidate,家属面向慢病患者：拍康复，AI结合康复相关记录给出吃法建议,家属->慢病患者,健康/康复,L3,97,93.8,29.9元/月,
IDEA-2026-0084,candidate,家属面向慢病患者：拍孕产，AI结合孕产相关记录给出吃法建议,家属->慢病患者,健康/孕产,L3,97,93.8,29.9元/月,
IDEA-2026-0107,candidate,家属面向慢病患者：共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->慢病患者,健康/康复,L3,97,93.8,29.9元/月,
IDEA-2026-0108,candidate,家属面向慢病患者：围绕饮食记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->慢病患者,健康/饮食,L3,97,93.8,29.9元/月,
IDEA-2026-0109,candidate,家属面向慢病患者：围绕用药记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->慢病患者,健康/用药,L3,97,93.8,29.9元/月,
IDEA-2026-0110,candidate,家属面向慢病患者：围绕体检记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->慢病患者,健康/体检,L3,97,93.8,29.9元/月,
IDEA-2026-0111,candidate,家属面向慢病患者：围绕体征记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->慢病患者,健康/体征,L3,97,93.8,29.9元/月,
IDEA-2026-0112,candidate,家属面向慢病患者：围绕孕产记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->慢病患者,健康/孕产,L3,97,93.8,29.9元/月,
IDEA-2026-0118,candidate,家属面向术后康复患者：拍餐食，AI结合病史给出吃法建议,家属->术后康复患者,健康/饮食,L3,97,93.8,29.9元/月,
IDEA-2026-0119,candidate,家属面向术后康复患者：拍用药，AI结合用药相关记录给出吃法建议,家属->术后康复患者,健康/用药,L3,97,93.8,29.9元/月,
IDEA-2026-0120,candidate,家属面向术后康复患者：拍体检，AI结合体检相关记录给出吃法建议,家属->术后康复患者,健康/体检,L3,97,93.8,29.9元/月,
IDEA-2026-0121,candidate,家属面向术后康复患者：拍体征，AI结合体征相关记录给出吃法建议,家属->术后康复患者,健康/体征,L3,97,93.8,29.9元/月,
IDEA-2026-0122,candidate,家属面向术后康复患者：拍康复，AI结合康复相关记录给出吃法建议,家属->术后康复患者,健康/康复,L3,97,93.8,29.9元/月,
IDEA-2026-0123,candidate,家属面向术后康复患者：拍孕产，AI结合孕产相关记录给出吃法建议,家属->术后康复患者,健康/孕产,L3,97,93.8,29.9元/月,
IDEA-2026-0146,candidate,家属面向术后康复患者：共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->术后康复患者,健康/康复,L3,97,93.8,29.9元/月,
IDEA-2026-0147,candidate,家属面向术后康复患者：围绕饮食记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->术后康复患者,健康/饮食,L3,97,93.8,29.9元/月,
IDEA-2026-0148,candidate,家属面向术后康复患者：围绕用药记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->术后康复患者,健康/用药,L3,97,93.8,29.9元/月,
IDEA-2026-0149,candidate,家属面向术后康复患者：围绕体检记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->术后康复患者,健康/体检,L3,97,93.8,29.9元/月,
IDEA-2026-0150,candidate,家属面向术后康复患者：围绕体征记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->术后康复患者,健康/体征,L3,97,93.8,29.9元/月,
IDEA-2026-0151,candidate,家属面向术后康复患者：围绕孕产记录，共同记录症状与诱因，AI识别高风险模式并提醒复查,家属->术后康复患者,健康/孕产,L3,97,93.8,29.9元/月,
IDEA-2026-0046,candidate,父母面向学龄儿童：拍药盒/病历，AI提醒并解释是否按医嘱执行,父母->学龄儿童,健康/用药,L2,93,87.2,19.9元/月,
IDEA-2026-0047,candidate,父母面向学龄儿童：围绕饮食记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,父母->学龄儿童,健康/饮食,L2,93,87.2,19.9元/月,
IDEA-2026-0048,candidate,父母面向学龄儿童：围绕体检记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,父母->学龄儿童,健康/体检,L2,93,87.2,19.9元/月,
IDEA-2026-0049,candidate,父母面向学龄儿童：围绕体征记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,父母->学龄儿童,健康/体征,L2,93,87.2,19.9元/月,
IDEA-2026-0050,candidate,父母面向学龄儿童：围绕康复记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,父母->学龄儿童,健康/康复,L2,93,87.2,19.9元/月,
IDEA-2026-0051,candidate,父母面向学龄儿童：围绕孕产记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,父母->学龄儿童,健康/孕产,L2,93,87.2,19.9元/月,
IDEA-2026-0058,candidate,父母面向学龄儿童：拍作业，AI逐题批改并生成同类巩固题,父母->学龄儿童,学业/作业,L2,93,87.2,19.9元/月,
IDEA-2026-0059,candidate,父母面向学龄儿童：围绕考试场景，拍作业，AI逐题批改并生成同类巩固题,父母->学龄儿童,学业/考试,L2,93,87.2,19.9元/月,
IDEA-2026-0060,candidate,父母面向学龄儿童：围绕错题场景，拍作业，AI逐题批改并生成同类巩固题,父母->学龄儿童,学业/错题,L2,93,87.2,19.9元/月,
IDEA-2026-0061,candidate,父母面向学龄儿童：围绕知识点场景，拍作业，AI逐题批改并生成同类巩固题,父母->学龄儿童,学业/知识点,L2,93,87.2,19.9元/月,
IDEA-2026-0062,candidate,父母面向学龄儿童：围绕复盘场景，拍作业，AI逐题批改并生成同类巩固题,父母->学龄儿童,学业/复盘,L2,93,87.2,19.9元/月,
IDEA-2026-0063,candidate,父母面向学龄儿童：AI根据错题与进度生成下一周学习计划,父母->学龄儿童,学业/复盘,L2,93,87.2,19.9元/月,
IDEA-2026-0064,candidate,父母面向学龄儿童：围绕作业场景，AI根据错题与进度生成下一周学习计划,父母->学龄儿童,学业/作业,L2,93,87.2,19.9元/月,
IDEA-2026-0065,candidate,父母面向学龄儿童：围绕考试场景，AI根据错题与进度生成下一周学习计划,父母->学龄儿童,学业/考试,L2,93,87.2,19.9元/月,
IDEA-2026-0066,candidate,父母面向学龄儿童：围绕错题场景，AI根据错题与进度生成下一周学习计划,父母->学龄儿童,学业/错题,L2,93,87.2,19.9元/月,
IDEA-2026-0067,candidate,父母面向学龄儿童：围绕知识点场景，AI根据错题与进度生成下一周学习计划,父母->学龄儿童,学业/知识点,L2,93,87.2,19.9元/月,
IDEA-2026-0163,candidate,家属面向孕产妇：拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->孕产妇,健康/用药,L2,93,87.2,19.9元/月,
IDEA-2026-0164,candidate,家属面向孕产妇：围绕饮食记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->孕产妇,健康/饮食,L2,93,87.2,19.9元/月,
IDEA-2026-0165,candidate,家属面向孕产妇：围绕体检记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->孕产妇,健康/体检,L2,93,87.2,19.9元/月,
IDEA-2026-0166,candidate,家属面向孕产妇：围绕体征记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->孕产妇,健康/体征,L2,93,87.2,19.9元/月,
IDEA-2026-0167,candidate,家属面向孕产妇：围绕康复记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->孕产妇,健康/康复,L2,93,87.2,19.9元/月,
IDEA-2026-0168,candidate,家属面向孕产妇：围绕孕产记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->孕产妇,健康/孕产,L2,93,87.2,19.9元/月,
IDEA-2026-0175,candidate,家属面向孕产妇：拍作业，AI逐题批改并生成同类巩固题,家属->孕产妇,学业/作业,L2,93,87.2,19.9元/月,
IDEA-2026-0176,candidate,家属面向孕产妇：围绕考试场景，拍作业，AI逐题批改并生成同类巩固题,家属->孕产妇,学业/考试,L2,93,87.2,19.9元/月,
IDEA-2026-0177,candidate,家属面向孕产妇：围绕错题场景，拍作业，AI逐题批改并生成同类巩固题,家属->孕产妇,学业/错题,L2,93,87.2,19.9元/月,
IDEA-2026-0178,candidate,家属面向孕产妇：围绕知识点场景，拍作业，AI逐题批改并生成同类巩固题,家属->孕产妇,学业/知识点,L2,93,87.2,19.9元/月,
IDEA-2026-0179,candidate,家属面向孕产妇：围绕复盘场景，拍作业，AI逐题批改并生成同类巩固题,家属->孕产妇,学业/复盘,L2,93,87.2,19.9元/月,
IDEA-2026-0180,candidate,家属面向孕产妇：AI根据错题与进度生成下一周学习计划,家属->孕产妇,学业/复盘,L2,93,87.2,19.9元/月,
IDEA-2026-0181,candidate,家属面向孕产妇：围绕作业场景，AI根据错题与进度生成下一周学习计划,家属->孕产妇,学业/作业,L2,93,87.2,19.9元/月,
IDEA-2026-0182,candidate,家属面向孕产妇：围绕考试场景，AI根据错题与进度生成下一周学习计划,家属->孕产妇,学业/考试,L2,93,87.2,19.9元/月,
IDEA-2026-0183,candidate,家属面向孕产妇：围绕错题场景，AI根据错题与进度生成下一周学习计划,家属->孕产妇,学业/错题,L2,93,87.2,19.9元/月,
IDEA-2026-0184,candidate,家属面向孕产妇：围绕知识点场景，AI根据错题与进度生成下一周学习计划,家属->孕产妇,学业/知识点,L2,93,87.2,19.9元/月,
IDEA-2026-0074,candidate,父母面向学龄儿童：多人排期信息收集后，AI自动给出最优排班和提醒,父母->学龄儿童,时间/排班,L2,91,86.4,19.9元/月,
IDEA-2026-0075,candidate,父母面向学龄儿童：围绕预约场景，多人排期信息收集后，AI自动给出最优排班和提醒,父母->学龄儿童,时间/预约,L2,91,86.4,19.9元/月,
IDEA-2026-0076,candidate,父母面向学龄儿童：围绕提醒场景，多人排期信息收集后，AI自动给出最优排班和提醒,父母->学龄儿童,时间/提醒,L2,91,86.4,19.9元/月,
IDEA-2026-0077,candidate,父母面向学龄儿童：围绕复诊场景，多人排期信息收集后，AI自动给出最优排班和提醒,父母->学龄儿童,时间/复诊,L2,91,86.4,19.9元/月,
IDEA-2026-0191,candidate,家属面向孕产妇：多人排期信息收集后，AI自动给出最优排班和提醒,家属->孕产妇,时间/排班,L2,91,86.4,19.9元/月,
IDEA-2026-0192,candidate,家属面向孕产妇：围绕预约场景，多人排期信息收集后，AI自动给出最优排班和提醒,家属->孕产妇,时间/预约,L2,91,86.4,19.9元/月,
IDEA-2026-0193,candidate,家属面向孕产妇：围绕提醒场景，多人排期信息收集后，AI自动给出最优排班和提醒,家属->孕产妇,时间/提醒,L2,91,86.4,19.9元/月,
IDEA-2026-0194,candidate,家属面向孕产妇：围绕复诊场景，多人排期信息收集后，AI自动给出最优排班和提醒,家属->孕产妇,时间/复诊,L2,91,86.4,19.9元/月,
IDEA-2026-0052,candidate,父母面向学龄儿童：拍检查结果，AI自动生成给家属看的健康摘要,父母->学龄儿童,健康/体检,L2,90,86.0,19.9元/月,
IDEA-2026-0053,candidate,父母面向学龄儿童：围绕饮食记录，拍检查结果，AI自动生成给家属看的健康摘要,父母->学龄儿童,健康/饮食,L2,90,86.0,19.9元/月,
IDEA-2026-0054,candidate,父母面向学龄儿童：围绕用药记录，拍检查结果，AI自动生成给家属看的健康摘要,父母->学龄儿童,健康/用药,L2,90,86.0,19.9元/月,
IDEA-2026-0055,candidate,父母面向学龄儿童：围绕体征记录，拍检查结果，AI自动生成给家属看的健康摘要,父母->学龄儿童,健康/体征,L2,90,86.0,19.9元/月,
IDEA-2026-0056,candidate,父母面向学龄儿童：围绕康复记录，拍检查结果，AI自动生成给家属看的健康摘要,父母->学龄儿童,健康/康复,L2,90,86.0,19.9元/月,
IDEA-2026-0057,candidate,父母面向学龄儿童：围绕孕产记录，拍检查结果，AI自动生成给家属看的健康摘要,父母->学龄儿童,健康/孕产,L2,90,86.0,19.9元/月,
IDEA-2026-0169,candidate,家属面向孕产妇：拍检查结果，AI自动生成给家属看的健康摘要,家属->孕产妇,健康/体检,L2,90,86.0,19.9元/月,
IDEA-2026-0170,candidate,家属面向孕产妇：围绕饮食记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->孕产妇,健康/饮食,L2,90,86.0,19.9元/月,
IDEA-2026-0171,candidate,家属面向孕产妇：围绕用药记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->孕产妇,健康/用药,L2,90,86.0,19.9元/月,
IDEA-2026-0172,candidate,家属面向孕产妇：围绕体征记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->孕产妇,健康/体征,L2,90,86.0,19.9元/月,
IDEA-2026-0173,candidate,家属面向孕产妇：围绕康复记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->孕产妇,健康/康复,L2,90,86.0,19.9元/月,
IDEA-2026-0174,candidate,家属面向孕产妇：围绕孕产记录，拍检查结果，AI自动生成给家属看的健康摘要,家属->孕产妇,健康/孕产,L2,90,86.0,19.9元/月,
IDEA-2026-0007,candidate,成年子女面向老年父母：拍药盒/病历，AI提醒并解释是否按医嘱执行,成年子女->老年父母,健康/用药,L2,95,83.0,19.9元/月,
IDEA-2026-0008,candidate,成年子女面向老年父母：围绕饮食记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,成年子女->老年父母,健康/饮食,L2,95,83.0,19.9元/月,
IDEA-2026-0009,candidate,成年子女面向老年父母：围绕体检记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,成年子女->老年父母,健康/体检,L2,95,83.0,19.9元/月,
IDEA-2026-0010,candidate,成年子女面向老年父母：围绕体征记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,成年子女->老年父母,健康/体征,L2,95,83.0,19.9元/月,
IDEA-2026-0011,candidate,成年子女面向老年父母：围绕康复记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,成年子女->老年父母,健康/康复,L2,95,83.0,19.9元/月,
IDEA-2026-0012,candidate,成年子女面向老年父母：围绕孕产记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,成年子女->老年父母,健康/孕产,L2,95,83.0,19.9元/月,
IDEA-2026-0019,candidate,成年子女面向老年父母：拍作业，AI逐题批改并生成同类巩固题,成年子女->老年父母,学业/作业,L2,95,83.0,19.9元/月,
IDEA-2026-0020,candidate,成年子女面向老年父母：围绕考试场景，拍作业，AI逐题批改并生成同类巩固题,成年子女->老年父母,学业/考试,L2,95,83.0,19.9元/月,
IDEA-2026-0021,candidate,成年子女面向老年父母：围绕错题场景，拍作业，AI逐题批改并生成同类巩固题,成年子女->老年父母,学业/错题,L2,95,83.0,19.9元/月,
IDEA-2026-0022,candidate,成年子女面向老年父母：围绕知识点场景，拍作业，AI逐题批改并生成同类巩固题,成年子女->老年父母,学业/知识点,L2,95,83.0,19.9元/月,
IDEA-2026-0023,candidate,成年子女面向老年父母：围绕复盘场景，拍作业，AI逐题批改并生成同类巩固题,成年子女->老年父母,学业/复盘,L2,95,83.0,19.9元/月,
IDEA-2026-0024,candidate,成年子女面向老年父母：AI根据错题与进度生成下一周学习计划,成年子女->老年父母,学业/复盘,L2,95,83.0,19.9元/月,
IDEA-2026-0025,candidate,成年子女面向老年父母：围绕作业场景，AI根据错题与进度生成下一周学习计划,成年子女->老年父母,学业/作业,L2,95,83.0,19.9元/月,
IDEA-2026-0026,candidate,成年子女面向老年父母：围绕考试场景，AI根据错题与进度生成下一周学习计划,成年子女->老年父母,学业/考试,L2,95,83.0,19.9元/月,
IDEA-2026-0027,candidate,成年子女面向老年父母：围绕错题场景，AI根据错题与进度生成下一周学习计划,成年子女->老年父母,学业/错题,L2,95,83.0,19.9元/月,
IDEA-2026-0028,candidate,成年子女面向老年父母：围绕知识点场景，AI根据错题与进度生成下一周学习计划,成年子女->老年父母,学业/知识点,L2,95,83.0,19.9元/月,
IDEA-2026-0085,candidate,家属面向慢病患者：拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->慢病患者,健康/用药,L2,95,83.0,19.9元/月,
IDEA-2026-0086,candidate,家属面向慢病患者：围绕饮食记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->慢病患者,健康/饮食,L2,95,83.0,19.9元/月,
IDEA-2026-0087,candidate,家属面向慢病患者：围绕体检记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->慢病患者,健康/体检,L2,95,83.0,19.9元/月,
IDEA-2026-0088,candidate,家属面向慢病患者：围绕体征记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->慢病患者,健康/体征,L2,95,83.0,19.9元/月,
IDEA-2026-0089,candidate,家属面向慢病患者：围绕康复记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->慢病患者,健康/康复,L2,95,83.0,19.9元/月,
IDEA-2026-0090,candidate,家属面向慢病患者：围绕孕产记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->慢病患者,健康/孕产,L2,95,83.0,19.9元/月,
IDEA-2026-0097,candidate,家属面向慢病患者：拍作业，AI逐题批改并生成同类巩固题,家属->慢病患者,学业/作业,L2,95,83.0,19.9元/月,
IDEA-2026-0098,candidate,家属面向慢病患者：围绕考试场景，拍作业，AI逐题批改并生成同类巩固题,家属->慢病患者,学业/考试,L2,95,83.0,19.9元/月,
IDEA-2026-0099,candidate,家属面向慢病患者：围绕错题场景，拍作业，AI逐题批改并生成同类巩固题,家属->慢病患者,学业/错题,L2,95,83.0,19.9元/月,
IDEA-2026-0100,candidate,家属面向慢病患者：围绕知识点场景，拍作业，AI逐题批改并生成同类巩固题,家属->慢病患者,学业/知识点,L2,95,83.0,19.9元/月,
IDEA-2026-0101,candidate,家属面向慢病患者：围绕复盘场景，拍作业，AI逐题批改并生成同类巩固题,家属->慢病患者,学业/复盘,L2,95,83.0,19.9元/月,
IDEA-2026-0102,candidate,家属面向慢病患者：AI根据错题与进度生成下一周学习计划,家属->慢病患者,学业/复盘,L2,95,83.0,19.9元/月,
IDEA-2026-0103,candidate,家属面向慢病患者：围绕作业场景，AI根据错题与进度生成下一周学习计划,家属->慢病患者,学业/作业,L2,95,83.0,19.9元/月,
IDEA-2026-0104,candidate,家属面向慢病患者：围绕考试场景，AI根据错题与进度生成下一周学习计划,家属->慢病患者,学业/考试,L2,95,83.0,19.9元/月,
IDEA-2026-0105,candidate,家属面向慢病患者：围绕错题场景，AI根据错题与进度生成下一周学习计划,家属->慢病患者,学业/错题,L2,95,83.0,19.9元/月,
IDEA-2026-0106,candidate,家属面向慢病患者：围绕知识点场景，AI根据错题与进度生成下一周学习计划,家属->慢病患者,学业/知识点,L2,95,83.0,19.9元/月,
IDEA-2026-0124,candidate,家属面向术后康复患者：拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->术后康复患者,健康/用药,L2,95,83.0,19.9元/月,
IDEA-2026-0125,candidate,家属面向术后康复患者：围绕饮食记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->术后康复患者,健康/饮食,L2,95,83.0,19.9元/月,
IDEA-2026-0126,candidate,家属面向术后康复患者：围绕体检记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->术后康复患者,健康/体检,L2,95,83.0,19.9元/月,
IDEA-2026-0127,candidate,家属面向术后康复患者：围绕体征记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->术后康复患者,健康/体征,L2,95,83.0,19.9元/月,
IDEA-2026-0128,candidate,家属面向术后康复患者：围绕康复记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->术后康复患者,健康/康复,L2,95,83.0,19.9元/月,
IDEA-2026-0129,candidate,家属面向术后康复患者：围绕孕产记录，拍药盒/病历，AI提醒并解释是否按医嘱执行,家属->术后康复患者,健康/孕产,L2,95,83.0,19.9元/月,
IDEA-2026-0136,candidate,家属面向术后康复患者：拍作业，AI逐题批改并生成同类巩固题,家属->术后康复患者,学业/作业,L2,95,83.0,19.9元/月,
IDEA-2026-0137,candidate,家属面向术后康复患者：围绕考试场景，拍作业，AI逐题批改并生成同类巩固题,家属->术后康复患者,学业/考试,L2,95,83.0,19.9元/月,
IDEA-2026-0138,candidate,家属面向术后康复患者：围绕错题场景，拍作业，AI逐题批改并生成同类巩固题,家属->术后康复患者,学业/错题,L2,95,83.0,19.9元/月,
IDEA-2026-0139,candidate,家属面向术后康复患者：围绕知识点场景，拍作业，AI逐题批改并生成同类巩固题,家属->术后康复患者,学业/知识点,L2,95,83.0,19.9元/月,
IDEA-2026-0140,candidate,家属面向术后康复患者：围绕复盘场景，拍作业，AI逐题批改并生成同类巩固题,家属->术后康复患者,学业/复盘,L2,95,83.0,19.9元/月,
IDEA-2026-0141,candidate,家属面向术后康复患者：AI根据错题与进度生成下一周学习计划,家属->术后康复患者,学业/复盘,L2,95,83.0,19.9元/月,
IDEA-2026-0142,candidate,家属面向术后康复患者：围绕作业场景，AI根据错题与进度生成下一周学习计划,家属->术后康复患者,学业/作业,L2,95,83.0,19.9元/月,
IDEA-2026-0143,candidate,家属面向术后康复患者：围绕考试场景，AI根据错题与进度生成下一周学习计划,家属->术后康复患者,学业/考试,L2,95,83.0,19.9元/月,
